tk,d_in,d_out,ret,held,near7,spans
AXON,2013-02-05,2013-02-12,0.5394317798919432,5,False,False
LEN,2013-02-21,2013-03-05,0.8685614355414953,8,False,False
PHM,2013-02-26,2013-03-04,0.6169051551113844,4,False,False
GNRC,2013-02-27,2013-04-05,0.0115665217703957,26,False,False
GNRC,2013-03-08,2013-04-16,-0.0342040438008482,26,False,False
EXPE,2013-03-22,2013-04-10,0.2377200458365196,12,False,False
AXON,2013-04-02,2013-04-10,0.2189218788896947,6,False,False
GNRC,2013-04-04,2013-04-25,0.1390875533570412,15,False,False
PHM,2013-04-05,2013-04-24,0.4674435429843023,13,False,False
EXPE,2013-04-16,2013-04-22,0.1947977894062922,4,False,False
PHM,2013-04-16,2013-04-24,0.4945699361030409,6,False,False
GNRC,2013-04-16,2013-04-25,0.148830584077257,7,False,False
SW,2013-04-26,2013-05-09,0.3489510634392788,9,False,False
EXPE,2013-04-29,2013-05-15,0.1619275388468385,12,False,False
MPC,2013-05-01,2013-05-17,0.5246157324833141,12,False,False
PSX,2013-05-02,2013-05-06,0.4918015479499444,2,False,False
NRG,2013-05-30,2013-06-07,0.4386590250601561,6,False,False
KKR,2013-06-04,2013-07-08,0.2768835076681344,23,False,False
APO,2013-06-06,2013-07-11,0.4636351110335596,24,False,False
SW,2013-06-12,2013-07-09,0.4581239152856853,18,False,False
MPC,2013-06-21,2013-07-30,-0.3095055209855845,26,False,False
MCO,2013-06-21,2013-07-24,0.8453146627190705,22,False,False
NRG,2013-06-21,2013-07-08,0.6071283298936333,10,False,False
BX,2013-06-21,2013-07-11,0.2844663671152704,13,False,False
GILD,2013-06-21,2013-07-05,0.5962406542898758,9,False,False
KKR,2013-06-21,2013-07-08,0.16343899960836,10,False,False
APO,2013-06-24,2013-07-11,0.6054661840174914,12,False,False
PSX,2013-06-24,2013-07-31,0.3970545382423149,26,False,False
C,2013-06-24,2013-07-08,0.7981390996468231,9,False,False
REGN,2013-06-24,2013-07-11,0.9695559116403544,12,False,False
BX,2013-07-05,2013-07-11,0.2982645702759361,4,False,False
STZ,2013-07-26,2013-07-31,0.5367073789010203,3,False,False
UAL,2013-08-14,2013-09-10,0.5419163033136193,18,False,False
REGN,2013-08-19,2013-08-26,0.4678868303213657,5,False,False
C,2013-08-28,2013-09-10,0.7399712748339616,8,False,False
HIG,2013-08-28,2013-09-09,0.8127151615811569,7,False,False
CBOE,2013-09-03,2013-10-09,-0.37759375298548,26,False,False
TSN,2013-09-26,2013-10-11,0.3891476654939754,11,False,False
GNRC,2013-10-09,2013-10-21,0.4921562511050624,8,False,False
SCHW,2013-10-09,2013-10-11,0.4783138488409396,2,True,False
TSN,2013-10-21,2013-11-18,0.2556225956652379,20,False,False
APTV,2013-11-06,2013-11-15,0.3656780452770878,7,False,False
MGM,2013-11-08,2013-12-06,0.674963946501306,19,False,False
CHTR,2013-11-12,2013-11-22,0.7756677929311396,8,False,False
AMD,2013-11-13,2013-11-29,0.1499312571597129,11,False,False
LYV,2013-11-18,2013-12-09,0.4725128825240964,14,False,False
META,2013-11-19,2013-12-10,0.5603592714379745,14,False,False
MGM,2013-11-20,2013-12-06,0.6449823744539155,11,False,False
CHTR,2013-11-21,2013-11-22,0.794321092016316,1,False,False
AMD,2013-11-27,2013-11-29,0.290451885048984,1,False,False
BSX,2013-12-05,2013-12-06,0.4137203404234666,1,False,False
CHTR,2013-12-06,2013-12-12,0.1743852400419947,4,False,False
FANG,2013-12-09,2013-12-20,0.6032704503773321,9,False,False
SW,2013-12-17,2013-12-31,1.266938285819232,9,False,False
AXON,2014-01-03,2014-01-08,0.926386580457444,3,False,False
BBY,2014-01-08,2014-02-14,-1.0,26,False,False
FANG,2014-01-10,2014-01-22,0.8709588160643781,7,False,False
DECK,2014-01-17,2014-02-11,0.3793925664429865,16,False,False
TPL,2014-01-28,2014-01-31,0.6396567794425002,3,False,False
CSGP,2014-01-28,2014-02-13,0.705030302316755,12,False,False
BA,2014-01-30,2014-03-10,-0.5432219629645445,26,False,False
SW,2014-02-03,2014-02-12,1.131588495321,7,False,False
BKNG,2014-02-04,2014-02-07,0.7752172102200812,3,False,False
ALGN,2014-02-04,2014-03-13,-0.4247319852052166,26,False,False
TYL,2014-02-07,2014-03-18,-0.2882847613845121,26,False,False
BA,2014-02-26,2014-04-01,-0.0831994703356156,24,False,False
TYL,2014-02-27,2014-04-04,-1.0,26,False,False
DECK,2014-03-03,2014-03-27,0.261471214617585,18,False,False
SMCI,2014-03-12,2014-04-17,-0.1411066380969357,26,False,False
INCY,2014-03-25,2014-05-01,-0.7067121401771534,26,False,False
BKNG,2014-03-27,2014-04-02,0.6678414178304755,4,False,False
MU,2014-03-27,2014-04-01,0.5896176341766951,3,False,False
VTRS,2014-04-11,2014-04-25,1.1271365683307828,9,False,False
LMT,2014-04-14,2014-04-21,0.5754939493947571,4,False,False
STZ,2014-04-15,2014-05-05,0.4635026772594997,13,False,False
TMUS,2014-04-16,2014-05-01,0.6317604255340948,10,False,False
GNRC,2014-05-02,2014-06-10,-1.0,26,False,False
BSX,2014-05-02,2014-05-28,0.2388997715962466,17,False,False
NFLX,2014-05-06,2014-05-19,0.2686019785072071,9,False,False
VTRS,2014-05-09,2014-05-29,0.4413680946836789,13,False,False
SMCI,2014-05-15,2014-05-16,0.2554752837440142,1,False,False
HII,2014-05-16,2014-06-02,0.4626830487407464,10,False,False
TSN,2014-05-22,2014-05-27,0.3453437666338048,2,False,False
HII,2014-06-20,2014-07-29,-0.6641218266560778,26,False,False
DAL,2014-07-08,2014-07-23,0.7789447915720468,11,False,False
DAL,2014-07-18,2014-07-23,0.4780638713783863,3,True,False
STZ,2014-07-31,2014-08-15,0.5803002045940563,11,False,False
ADSK,2014-08-04,2014-08-13,0.4892031299679667,7,False,False
DAL,2014-08-06,2014-08-14,0.6154186429917354,6,False,False
ZBRA,2014-08-07,2014-09-15,-0.5114337871766014,26,False,False
NXPI,2014-08-08,2014-08-20,0.4641025772081644,8,False,False
MU,2014-08-08,2014-08-18,0.5219712788784205,6,False,False
FANG,2014-09-08,2014-10-14,-1.0,26,False,False
MU,2014-09-16,2014-09-18,0.7171216225500617,2,False,False
HPQ,2014-09-30,2014-10-06,0.6170486410998216,4,False,False
TPL,2014-10-03,2014-11-10,-1.0,26,False,False
MAR,2014-10-08,2014-10-21,0.4909765907152693,9,False,False
SMCI,2014-10-09,2014-10-21,0.4783095556139705,8,False,False
TRGP,2014-10-10,2014-10-29,0.251557059313961,13,False,False
RCL,2014-10-10,2014-10-21,0.7707047447893364,7,False,False
SWKS,2014-10-13,2014-10-21,0.9166223826080852,6,False,False
LUV,2014-10-13,2014-10-20,0.6972362773931056,5,False,False
AVGO,2014-10-13,2014-10-21,0.6370790012389815,6,False,False
GILD,2014-10-15,2014-10-21,1.1976212301131552,4,False,False
MU,2014-10-17,2014-10-27,0.7131885587821498,6,False,False
URI,2014-10-17,2014-10-21,0.3001455673372281,2,False,False
TRGP,2014-11-07,2014-11-26,0.2663979770034609,13,False,False
META,2014-11-20,2014-11-26,0.6832941007726848,4,False,False
SMCI,2015-03-25,2015-04-16,0.3680192548043487,15,False,False
IRM,2015-03-26,2015-04-06,0.3845387604074973,6,False,False
KR,2015-04-20,2015-05-19,0.1703008088259638,21,False,False
EW,2015-04-28,2015-06-04,-0.0697448269355262,26,False,False
LOW,2015-04-28,2015-05-08,0.2944888084179062,8,False,False
LUV,2015-04-29,2015-06-05,-1.0,26,False,False
AVGO,2015-04-29,2015-05-14,0.7740172907891257,11,False,False
CNC,2015-05-01,2015-05-14,0.7491753319457527,9,False,False
MNST,2015-05-11,2015-06-17,0.0778388041951565,26,False,False
TYL,2015-06-05,2015-06-17,0.5449724983419092,8,False,False
COR,2015-06-09,2015-07-16,0.083079764908693,26,False,False
COR,2015-06-25,2015-07-16,0.385954288946193,14,False,False
ROST,2015-06-30,2015-07-06,0.2133060055594845,3,False,False
BLDR,2015-07-09,2015-07-20,0.3735793612745576,7,False,False
SWKS,2015-07-09,2015-07-21,0.4354155936469846,8,False,False
AVGO,2015-07-09,2015-08-14,-0.7658048240517626,26,False,False
LULU,2015-07-24,2015-08-14,0.4458117549462638,15,False,False
SWKS,2015-07-28,2015-09-02,-0.950290708352744,26,False,False
IBKR,2015-08-03,2015-08-03,0.3355645454921638,0,False,False
FICO,2015-08-20,2015-09-28,-1.0,26,False,False
IBKR,2015-08-21,2015-09-25,0.0857759774928361,24,False,False
DPZ,2015-08-21,2015-09-15,0.6522498329884661,16,False,False
HAS,2015-08-24,2015-09-14,1.2199003702561777,14,False,False
LULU,2015-08-24,2015-08-31,0.7836214615566199,5,False,False
EW,2015-08-24,2015-09-30,0.8690347252871764,26,False,False
INCY,2015-08-25,2015-08-26,0.4397301906412311,1,False,False
FTNT,2015-08-25,2015-09-11,0.1650978230226847,12,False,False
NCLH,2015-08-25,2015-09-08,0.3087451096008732,9,False,False
REGN,2015-08-25,2015-09-08,0.3102140388938003,9,False,False
TYL,2015-08-25,2015-08-26,0.4021424019262531,1,False,False
AMZN,2015-08-25,2015-08-26,0.212299919873959,1,False,False
VMC,2015-08-26,2015-08-27,0.3198609104132514,1,False,False
MNST,2015-09-02,2015-10-09,-0.0305953164960527,26,False,False
EW,2015-09-03,2015-10-01,0.5091211213899368,19,False,False
CI,2015-09-28,2015-10-16,0.264114422880967,14,False,False
FIX,2015-09-29,2015-10-05,0.906497003844148,4,False,False
VMC,2015-09-29,2015-10-02,0.8146223823703777,3,False,False
BLDR,2015-09-29,2015-11-04,-0.4253787329805007,26,False,False
DXCM,2015-09-29,2015-11-03,0.0936953876578313,25,False,False
IBKR,2015-09-29,2015-10-01,0.4705022473326264,2,False,False
LII,2015-09-30,2015-10-12,0.5326521210189279,8,False,False
FTNT,2015-09-30,2015-10-19,0.1046336344475827,13,False,False
NCLH,2015-09-30,2015-10-12,0.3821716661767264,8,False,False
FTNT,2015-10-14,2015-10-19,0.2931800948157091,3,False,False
IBKR,2015-10-15,2015-10-16,0.2487522322376494,1,True,False
VMC,2015-10-21,2015-10-22,0.26359919756696,1,False,False
PANW,2015-10-22,2015-11-20,0.3285918037044581,21,False,False
TKO,2015-12-09,2015-12-22,0.4276443015535917,9,False,False
GPN,2015-12-18,2016-01-28,-1.0,26,False,False
FIX,2015-12-21,2016-01-29,-0.4359298570454839,26,False,False
GPN,2016-01-04,2016-02-10,-1.0,26,False,False
NFLX,2016-01-05,2016-01-06,0.4758103335200164,1,False,False
TYL,2016-01-05,2016-02-11,-1.0,26,False,False
GOOG,2016-01-11,2016-01-29,0.3563740708857343,13,False,False
GOOGL,2016-01-11,2016-01-29,0.4270247255258705,13,False,False
HRL,2016-04-12,2016-05-18,-1.0,26,False,False
TSN,2016-04-22,2016-04-29,0.4430572155684381,5,False,False
TTWO,2016-04-29,2016-05-12,0.627978551756782,9,False,False
TSN,2016-06-01,2016-06-27,0.2360246259994839,18,False,False
EW,2016-06-16,2016-07-06,0.5712586916955915,13,False,False
